Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
Haiti,Anti-foreign interference protests,22-Oct,Not free,The government requested security assistance from international actors to quell gang violence and economic crisis protests.,Frustrations with previous failures of the international community to achieve stated objectived through interventions in Haiti.,">1,000",General public.,1 week,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Port-au-Prince
Haiti,PetroCaribe protests,18-Jul,Partly free,"Revocation of fuel subsidies, and revelations of President Jovenel Moïse’s direct involvement in a corruption scandal.","Poverty, corruption, lack of economic development despite economic aid, and inadequate public services and infrastructure.",">10,000","Political opposition, young people, union workers, university professors, business associations, middle-class participants.","1 year, 5 months","In July 2018, the fuel hike was reversed, and then prime minister Jack Guy Lafontant resigned.",,,X,,Thousands,,,,,,Port-au-Prince
Haiti,Presidential protests,21-Feb,Partly free,"President Jovenel Moïse’s assertion that his five-year term as president would end in February 2022 rather than February 2021, the assassination of Moïse in July 2021, and rising levels of criminal violence.","Concerns over entrenchment of the Moïse government, lack of elections, systemic corruption, economic deterioration, and increasing political instability.",">1,000",General public.,5 months,No policy/leadership change in response to protests.,,X,X,X,Thousands,,,,X,,Port-au-Prince
Haiti,Tax protests,17-Sep,Partly free,"Introduction of new taxes on cigarettes, passports, and other goods.","Anger over the increasing cost of living, lack of economic opportunity, and the failure of the government to provide basic services.",">1,000",General public.,2 months,No policy/leadership change in response to protests.,,,X,,Unknown,,,,,X,Port-au-Prince
Honduras,2017 election protests,17-Dec,Partly free,"Significant irregularities in the reporting of the results of the December 2017 presidential election, which President Juan Orlando Hernández won narrowly.","Electoral fraud and broader democratic erosion (in other words, subversion of term limits).",">10,000","Political opposition, religious institutions.",2 weeks,No policy/leadership change in response to the protests.,,X,,X,Thousands,X,,,X,,Tegucigalpa
Honduras,Privatization reform protests,19-Apr,Partly free,"Proposed reforms to the education and healthcare sectors, and revelations that President Juan Orlando Hernández received contributions from drug traffickers.","Government corruption, falling spending on public services, and widespread poverty despite economic growth.",">10,000","Teachers, medical professionals, unions, trade groups, farmers, taxi and truck drivers, police officers.",6 months,Hernández withdrew the proposed legislation.,,X,X,X,Thousands,X,,X,,,Tegucigalpa
Hong Kong,Reclamation project protest,23-Mar,Partly free,Authorities planned to construct six facilities as part of a land reclamation and rubbish processing project.,Fears that the facilities could be intrusive and bring nuisance to the community.,<100,Environmentalists and residents in the Tseung Kwan O neighborhood in the New Territories.,1 day,No policy/leadership change in response to the protest.,,,X,,Tens,,,,,,Hong Kong
Hong Kong,Democracy activist arrest protest,21-Feb,Partly free,The arrest of forty-seven prominent pro-democracy activists.,Anger at decreasing political pluralism and increased repression by mainland Chinese authorities.,>500,General public.,1 day,No policy/leadership change in response to the protest.,,,X,,Hundreds,,,,,,Hong Kong
Hong Kong,Hong Kong autonomy protests,19-Apr,Partly free,"In 2019, introduction of a bill that would permit extradition of criminal suspects from Hong Kong to China. In 2020, introduction of a new national security law that would criminalize acts of secession, subversion of the central government, terrorism, or conspiracy with foreign influences, as well as permit Chinese law enforcement agencies to operate in Hong Kong.","Erosion of Hong Kong’s one country, two systems autonomy from China, and restriction of civil liberties.","2,000,000","General public, especially younger citizens and students.","1 year, 4 months (sporadic)","The Hong Kong government retracted the extradition bill. It also stepped back from postponing local council elections, which pro-democracy groups won.",,,X,,Thousands,X,,,,,Hong Kong
Hong Kong,Sentencing protest,17-Aug,Partly free,Sentencing of three leaders of the 2014 Umbrella Movement to six to eight months in prison on the charge of unlawful assembly.,"Restriction of civil liberties, autonomy from China, and questions over judicial independence.","22,000",General public.,1 day,No policy/leadership change in response to the protests.,,,X,X,Hundreds of thousands,,X,,X,,Hong Kong
Hungary,Pride protest,23-Jul,Partly free,"The Hungarian government, led by Viktor Orban's Fidesz Party, passed laws to suppress Queer visibility, including in 2021 banning the ""display and promotion of homosexuality"" among those under the age of eighteen in books and films.","Anger over government policies that suppress LGBTQ+ visibility, fear of further laws that might restrict the place of Queer people in Hungarian society.","10,000",General public,1 day,No policy/leadership change in response to protests.,,,X,,Tens of thousands,,,,,,Budapest
Hungary,Teacher protests,22-Oct,Partly free,Teachers who joined early protests for higher wages were sacked.,"Low wages and poor working conditions for teachers, as well as a shortage of teachers.","80,000","Teachers, students, parents.",Active,"On July 4, 2023, Hungary's parliament passed a law that revoked teachers’ status as public employees, increased allowable weekly working hours, and allowed for educators to be transferred to other schools experiencing teacher shortages.",X,X,X,,Tens of thousands,,,,X,,Budapest
Hungary,“Slave law” protests,18-Dec,Free,"Legislation that would increase the amount of overtime employers could demand from employees, and the creation of a parallel court system.",Democratic backslide under Prime Minister Viktor Orbán and structural economic challenges (such as support for the country’s aging population).,"100,000","Trade unions, civil society groups, opposition parties.",10 months,No policy/leadership change in response to the protests.,,X,,,Thousands,,,,,X,Budapest
Hungary,Abortion law protests,22-Sep,Partly free,"The government amended the law to require healthcare providers to present women with evidence of life of the fetus, widely interpreted as a heartbeat, before proceeding with the abortion.","Backlash over conservative social policies implemented by the Fidesz-led government, including restrictions on women's rights, especially to safe abortion access.",">1,000",Women.,2 weeks,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Budapest
Hungary,LGBT law protests,21-Jun,Partly free,Introduction and adoption of a law that bars teaching about same-sex relationships or LGBT issues to youth.,"Decreasing civic space, repression of LGBT groups, and increasing authoritarianism of Prime Minister Viktor Orban’s government.",">1,000","General public, especially LGBT activists.",3 weeks,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Budapest
Hungary,Logging regulation protests,22-Aug,Partly free,Government loosening of logging regulations to increase supply of firewood in response to surging gas and electricity prices,Fears of deforestation and government inaction to combat climate change.,">1,000",Environmentalists.,1 week,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Budapest
Hungary,Media bias protest,22-Nov,Partly free,"The state media corporation, MTVA, devoted minimal coverage to teacher protests, which began in September 2022.",Perceived bias in media that favors the ruling party.,"1,500","General public, especially members of the opposition.",1 day,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Budapest
Hungary,Tax hike protests,22-Jul,Partly free,The government increased the tax rate for hundreds of thousands of small businesses.,"Frustration with rising inflation, increasing burdens on small businesses, and a weakening of the country's currency.",">1,000",General public.,1 week,No policy/leadership change in response to the protests.,,X,X,,Thousands,,,,,,Budapest
